id,parent_id,title,url,menu_order,icon,target,iconpullright,status
1,0,Home,/IDS-Toolbox/userView/index.php,1,"fa fa-home",NULL,,1
2,0,Builder,/IDS-Toolbox/userView/builder.php,2,"fa fa-gear",,,1
3,0,Typography,/IDS-Toolbox/userView/pages/typography.php,3,"fa fa-font",NULL,,1
4,0,HTML5,#,7,"fa fa-code",NULL,,1
5,4,"Coding Standards",/IDS-Toolbox/userView/pages/html5.php,1,"fa fa-code",NULL,,1
6,0,Bootstrap,#,5,"fa fa-css3",NULL,,1
7,6,Carousel,/IDS-Toolbox/userView/pages/carousels.php,1,"fa fa-picture-o",NULL,,1
8,6,Accodrion,/IDS-Toolbox/userView/pages/accordions.php,2,"fa fa-map-o",NULL,,1
9,0,Hybris,#,6,"fa fa-header",NULL,,1
10,9,"Document Library",/IDS-Toolbox/userView/pages/hybris-quick-reference.php,1,"fa fa-book",NULL,,1
11,0,FontAwesome,#,4,"fa fa-star",NULL,new,1
12,11,Examples,/IDS-Toolbox/userView/pages/fontAwesome-examples.php,1,"fa fa-paperclip",NULL,new,1
13,11,"Icon Codes",/IDS-Toolbox/userView/pages/fontAwesome.php,2,"fa fa-code",NULL,new,1
14,9,"New WCMS Page",/IDS-Toolbox/userView/pages/createNewPage-Education.php,2,"fa fa-plus-circle",NULL,new,1
